Ensembl.Gene.ID	Chromosome.Name	Gene.Start.bp	Gene.End.bp	HGNC.symbol
ENSG00000173213	18	47390	49557	RP11-683L23.1.1
ENSG00000221441	18	48162	48272	AP001005.1
ENSG00000101557	18	158483	213739	USP14
ENSG00000173213	18	47390	49557	RP11-683L23.1.1
ENSG00000221441	18	48162	48272	AP001005.1
ENSG00000101557	18	158483	213739	USP14
ENSG00000141433	18	904414	912173	ADCYAP1
ENSG00000259837	18	926084	927994	RP11-672L10.1.1
ENSG00000132204	18	1268312	1359630	LINC00470
ENSG00000199197	18	1323795	1324086	7SK
ENSG00000101574	18	2537524	2571508	METTL4
ENSG00000238575	18	2555357	2555491	snoU109
ENSG00000080986	18	2571510	2616634	NDC80
ENSG00000235422	18	2593673	2594912	AP005136.2.1
ENSG00000202224	18	2621089	2621200	Y_RNA
ENSG00000200875	18	2649760	2649866	U6
ENSG00000101596	18	2655886	2805015	SMCHD1
ENSG00000238425	18	2774872	2774961	snoU13
ENSG00000207034	18	2778939	2779055	Y_RNA
ENSG00000132205	18	2847028	2914090	EMILIN2
ENSG00000101577	18	2916992	3013313	LPIN2
ENSG00000252258	18	3025432	3025564	SNORA70
ENSG00000101605	18	3066805	3220106	MYOM1
ENSG00000252353	18	3093566	3093627	RNU7-25P
ENSG00000101608	18	3247528	3256234	MYL12A
ENSG00000118680	18	3261907	3278282	MYL12B
ENSG00000259256	18	3347774	3350557	RP11-838N2.3.1
ENSG00000240364	18	3377914	3378245	RP11-838N2.1.1
ENSG00000243720	18	3406340	3406816	RP11-838N2.2.1
ENSG00000177426	18	3411606	3459976	TGIF1
ENSG00000238863	18	3424257	3424347	snoU13
ENSG00000170579	18	3496030	4151290	DLGAP1
ENSG00000241223	18	3571215	3571508	AP002472.1
ENSG00000238445	18	3572938	3573041	snoU13
ENSG00000177337	18	3594112	3598350	AP002478.1
ENSG00000206827	18	20227545	20227651	U6
ENSG00000238537	18	20481487	20481589	snoU13
ENSG00000101773	18	20513290	20606449	RBBP8
ENSG00000242182	18	20584522	20584825	AC106033.1
ENSG00000223023	18	20604559	20604666	Y_RNA
ENSG00000134508	18	20714528	20840434	CABLES1
ENSG00000222999	18	20716399	20716476	AC105247.1
ENSG00000134490	18	20777719	21017925	TMEM241
ENSG00000101782	18	21032787	21063104	RIOK3
ENSG00000199357	18	21036335	21036431	Y_RNA
ENSG00000141452	18	21083462	21111771	C18orf8
ENSG00000141458	18	21111401	21166451	NPC1
ENSG00000199366	18	21161980	21162085	Y_RNA
